,Latitude,Longitude
0,19.9432,-64.5649
1,20.2173,-64.3828
2,20.4521,-64.1968
3,21.1293,-63.8333
4,21.473,-63.5899
5,21.7367,-63.4227
6,22.15,-63.1474
7,22.8418,-62.7592
8,24.3576,-62.8129
9,24.3576,-62.8129
10,24.7657,-62.7221
11,25.3751,-62.4785
12,25.5607,-62.4387
13,26.0914,-61.7168
14,29.249,-62.9857
15,29.7453,-63.2167
16,30.5477,-63.7064
17,31.1813,-64.0147
18,31.535,-64.2677
19,31.9644,-64.5448
20,32.32,-64.4322
21,32.079,-64.6316
22,31.5865,-62.7727
23,31.2001,-62.0368
24,30.8735,-61.3126
25,30.073,-58.7081
26,30.073,-58.7081
27,29.6835,-56.6993
28,29.5392,-54.9628
29,29.2797,-53.6117
30,28.907,-51.8931
31,28.7729,-51.0777
32,28.5522,-50.1026
33,35.6729,-35.0237
34,36.2937,-33.3888
35,-23.4996,-39.2757
36,-23.729,-37.4867
37,-23.8868,-36.6933
38,-24.1104,-33.9573
39,-23.0308,-30.8532
40,-22.297,-29.2472
41,-20.8268,-28.2509
42,-19.7983,-27.3385
43,-18.615,-26.1638
44,-17.887,-25.086
45,-16.9837,-23.7325
46,-16.2435,-22.5333
47,-13.9923,-20.739
48,-26.4261,-41.0363
49,-26.3881,-39.9167
50,-26.1893,-38.7646
51,-26.131,-37.5873
52,-25.9968,-36.4999
53,-25.8957,-35.3693
54,-25.801,-34.2127
55,-25.9165,-35.0814
56,-26.0782,-31.973
57,-26.3129,-31.0914
58,-26.4893,-30.029
59,-26.7957,-29.097
60,-26.6971,-28.091
61,-27.3323,-26.8913
62,-27.8835,-25.8982
63,-28.5773,-24.9763
64,-29.5155,-24.6103
65,-29.9658,-23.4819
66,-30.6643,-22.6652
67,-31.2527,-21.7331
68,-31.8705,-20.748
69,-32.5913,-19.948
70,-33.4867,-19.0997
71,-34.0419,-18.1859
72,-34.6048,-17.1887
73,-34.333,-15.9772
74,-34.065,-14.785
75,-33.5729,-13.7057
76,-33.2573,-12.4862
77,-32.9033,-11.3745
78,-32.607,-10.2
79,-32.3348,-9.2109
80,-31.6387,-8.0787
81,-31.9295,-6.989
82,-32.278,-5.9515
83,-32.618,-4.8462
84,-32.835,-3.6837
85,-33.043,-2.4258
86,-33.2157,-1.2692
87,-33.4173,0.0825
88,-33.6215,1.0787
89,-33.82,2.264
90,-34.0253,3.4618
91,-34.1586,4.8587
92,-34.3584,6.2549
93,-34.3065,7.1063
94,-34.0162,9.7782
95,-33.7817,11.3967
96,-17.7225,-5.9518
97,-19.1813,-5.9712
98,-20.8803,-5.9975
99,-22.5407,-6.1887
100,-23.8528,-6.3298
101,-24.3825,-7.267
102,-24.9143,-8.2032
103,-25.3823,-9.2272
104,-25.8243,-10.2767
105,-26.2905,-11.288
106,-26.8388,-12.2565
107,-27.222,-13.266
108,-27.6412,-14.3013
109,-28.032,-15.3368
110,-28.3865,-16.3898
111,-28.832,-17.443
112,-29.1203,-18.5112
113,-29.5068,-19.5708
114,-29.9482,-20.712
115,-30.2798,-21.833
116,-30.5678,-22.9272
117,-30.896,-24.0645
118,-31.1353,-25.223
119,-31.4843,-26.3197
120,-31.6642,-27.5227
121,-31.94,-28.6897
122,-32.4768,-29.7142
123,-32.831,-30.8133
124,-33.2383,-32.0515
125,-33.4538,-33.1737
126,-33.687,-34.342
127,-33.9352,-35.503
128,-34.6837,-36.4507
129,-34.765,-37.5982
130,-34.6662,-38.8243
131,-34.807,-40.0783
132,-34.8687,-41.3467
133,-34.8428,-42.5657
134,-34.9098,-43.8572
135,-35.082,-45.0112
136,-34.9393,-46.2998
137,-35.1497,-47.8308
138,-34.7158,-49.213
139,37.2045,-133.865
140,37.1755,-133.9495
141,38.1515,-137.4531
142,38.6913,-141.772
143,38.6878,-142.0264
144,38.641,-142.2665
145,37.8664,-143.8151
146,36.6822,-144.8449
147,36.5084,-145.0356
148,32.5488,-146.9627
149,32.5205,-147.2988
150,31.5611,-152.6133
151,29.4539,-153.52
152,18.8899,-155.6586
153,18.9173,-155.7009
154,18.9533,-155.7185
155,18.1587,-155.9801
156,19.2407,-155.1751
157,19.6952,-154.3368
158,19.8499,-154.435
159,19.9206,-154.6866
160,19.0713,-155.4457
161,19.0051,-155.5729
162,19.3403,-156.087
163,19.8962,-155.9993
164,19.2901,-156.0478
165,21.6509,-160.5405
166,21.6499,-160.5483
167,22.0117,-160.8771
168,22.0984,-160.9692
169,22.9567,-161.9107
170,23.5707,-164.4812
171,30.1206,-165.4097
172,30.989,-165.4256
173,32.0113,-165.4
174,32.2366,-165.914
175,33.0283,-167.5915
176,33.0118,-167.9233
177,33.0136,-168.1356
178,32.8404,-170.0683
179,32.5552,-169.6959
180,32.2592,-167.992
181,32.5498,-165.8103
182,32.4721,-166.1064
183,33.2827,-164.9998
184,33.7558,-162.7216
185,33.7601,-160.4152
186,34.5145,-157.8488
187,36.1594,-157.5585
188,35.6912,-147.6655
189,35.8771,-132.573
190,35.7633,-138.5103
191,35.7626,-138.7748
192,35.8875,-139.3993
193,35.9653,-139.8182
194,36.0408,-140.3313
195,36.083,-140.7946
196,35.8409,-140.8203
197,35.3814,-141.0245
198,35.0049,-141.4513
199,35.9064,-141.7822
200,34.679,-142.0756
201,25.107,-128.1097
202,24.2205,-128.353
203,23.5677,-130.3722
204,24.6048,-146.387
205,24.5445,-146.4777
206,24.4147,-146.6687
207,24.3578,-146.7665
208,23.567,-160.4192
209,29.301,-162.048
210,29.771,-162.6273
211,30.5422,-163.2292
212,31.3098,-163.994
213,31.6068,-164.2543
214,32.7388,-165.2378
215,34.3688,-169.1825
216,34.3877,-170.019
217,35.0628,-171.635
218,35.002,-171.7438
219,34.9987,-171.8237
220,35.0003,-171.9347
221,34.5922,-172.951
222,34.5387,-176.3967
223,34.4852,-176.4423
224,34.4678,-176.4583
225,34.4452,-176.4782
226,34.4268,-176.4903
227,34.0135,-179.9885
228,34.0515,-179.9942
229,34.1497,-179.9897
230,34.1563,-179.988
231,34.5053,-179.858
232,35.095,-179.9312
233,35.3822,-179.893
234,35.4108,-179.8732
235,36.0995,-179.588
236,36.4778,-179.353
237,37.8532,-179.3768
238,39.2955,-179.7523
239,39.3125,-179.7445
240,40.3088,-178.9072
241,40.492,-178.7088
242,25.6292,-158.9848
243,28.0083,-160.3058
244,26.6528,-160.3025
245,31.1583,-160.2433
246,31.151,-160.1013
247,31.1502,-159.979
248,30.8125,-158.6852
249,31.3132,-158.7325
250,32.005,-159.0086
251,32.4983,-159.92
252,32.5517,-159.9608
253,33.1373,-159.246
254,33.1848,-159.229
255,34.2913,-144.3522
256,34.37,-143.7072
257,34.6675,-142.0818
258,34.9327,-141.896
259,35.007,-141.434
260,35.3843,-141.0217
261,35.841,-140.8242
262,36.074,-140.8297
263,36.0405,-140.3197
264,36.0135,-140.1468
265,35.9848,-139.9853
266,35.9262,-139.7735
267,35.6865,-139.2023
268,34.6502,-142.2878
269,31.5383,-156.8608
270,32.2027,-156.8332
271,39.1247,-156.9162
272,40.2005,-156.707
273,41.0398,-156.2367
274,41.3213,-155.7068
275,41.3388,-155.7317
276,41.2838,-154.2545
277,40.5463,-151.5393
278,40.5133,-150.16
279,40.4037,-148.0525
280,40.2372,-146.2703
281,40.0895,-144.4545
282,40.3673,-140.9322
283,42.0602,-137.5418
284,43.6962,-134.5772
285,14.5523,160.7231
286,15.2175,159.9003
287,15.7937,159.2056
288,16.4507,158.5566
289,17.4912,157.5383
290,17.9596,157.078
291,32.8112,156.4986
292,19.4321,156.1433
293,19.6586,155.1127
294,20.5115,155.1814
295,21.5837,155.3391
296,22.4588,155.2998
297,23.4111,155.2311
298,24.2949,155.0853
299,25.099,154.157
300,25.7062,153.2397
301,26.3517,152.2958
302,27.0833,151.3647
303,27.8482,150.2578
304,28.5588,149.3047
305,29.7272,148.0468
306,33.2582,151.1831
307,32.0859,153.1712
308,31.2728,155.3199
309,30.7313,157.7742
310,30.191,160.4028
311,30.4448,163.3177
312,30.4993,166.0763
313,30.077,168.133
314,29.1979,169.8263
315,29.4129,172.0143
316,28.4783,175.315
317,30.2817,-176.8333
318,31.1333,-174.3002
319,-33.1342,-81.2382
320,-33.1071,-82.387
321,-33.0195,-83.4213
322,-32.9105,-84.4851
323,-32.8038,-86.2393
324,-32.7309,-86.3835
325,-32.5685,-87.4243
326,-32.3817,-88.1103
327,-32.2052,-89.4267
328,-31.978,-90.4108
329,-31.8065,-91.3445
330,-31.5774,-92.3432
331,-31.3878,-93.3457
332,-31.1743,-94.3172
333,-30.9504,-95.3477
334,-30.5732,-96.2025
335,-30.2413,-97.0948
336,-29.8994,-97.9295
337,-29.5605,-98.8063
338,-29.3441,-99.7966
339,-29.1922,-100.739
340,-29.0453,-101.7302
341,-28.8929,-102.5777
342,-28.7311,-103.5486
343,-28.5805,-104.3963
344,-28.33,-105.331
345,-28.1885,-106.3073
346,-27.8781,-107.246
347,-27.5502,-108.0495
348,-27.2818,-108.9362
349,-27.022,-110.9803
350,-26.8718,-111.9128
351,-26.6982,-112.871
352,-26.6027,-113.8575
353,-26.5353,-114.8312
354,-26.3318,-115.7358
355,-26.238,-116.6753
356,-26.1643,-117.5795
357,-26.0652,-118.5125
358,-26.0422,-119.432
359,-25.9512,-120.4278
360,-25.8596,-121.3422
361,-25.5538,-122.2008
362,-25.2705,-123.2543
363,-24.9669,-123.9391
364,-24.6527,-124.7923
365,-24.5847,-125.7344
366,-24.4952,-126.6168
367,-26.5485,106.8701
368,-24.3947,99.5107
369,-24.4876,98.1066
370,-24.4935,96.4434
371,-24.0191,94.8233
372,-21.4145,75.2972
373,-21.2668,72.1455
374,-21.049,68.4367
375,-20.6787,64.942
376,-20.2472,61.6722
377,43.6823,7.699
378,43.7653,8.0349
379,44.1738,8.9859
380,44.2934,9.2035
381,43.8789,9.3394
382,43.2046,8.999
383,42.8895,10.2292
384,42.8428,10.2831
385,42.9838,9.3248
386,42.7337,9.0328
387,42.8743,8.2616
388,42.8568,8.317
389,42.7962,8.4162
390,42.757,8.4698
391,42.7252,8.5102
392,42.6938,8.5717
393,42.6544,8.6121
394,42.6225,8.6588
395,42.6043,8.7248
396,42.8195,8.3553
397,43.2464,8.0701
398,43.5498,8.6342
399,43.4473,8.3581
400,43.0758,6.384
401,43.0032,6.3696
402,43.063,5.8787
403,43.3181,5.1862
404,43.3203,5.1988
405,43.3241,5.1659
406,43.3003,5.246
407,43.2609,4.9354
408,43.0098,4.3971
409,42.8136,3.9276
410,42.5295,3.1341
411,42.4627,3.3037
412,42.3302,3.4784
413,42.2513,3.6462
414,42.2428,8.5225
415,42.3235,8.5842
416,43.5743,7.393
417,-60.3388,-60.5325
418,-63.8753,-56.0937
419,-63.3871,-56.801
420,-57.7642,-67.0034
421,-39.6298,-76.9828
422,-34.1697,-73.0895
423,-33.6899,-72.0005
424,14.5557,160.7487
425,14.5557,160.7487
426,15.7948,159.2038
427,15.7948,159.2038
428,17.4933,157.535
429,19.3057,156.22
430,22.0512,155.4182
431,23.9013,155.2417
432,23.9013,155.2417
433,25.1033,154.1482
434,26.358,152.2792
435,26.7132,151.782
436,27.7877,150.3495
437,27.8875,150.1943
438,27.8875,150.1943
439,30.0408,147.59
440,32.8888,143.7253
441,32.9825,143.425
442,32.9825,143.425
443,32.16,152.46
444,32.04,153.19
445,32.0067,153.3833
446,32.04,153.21
447,31.08,155.33
448,30.58,156.11
449,31.05,155.46
450,30.41,157.51
451,30.4016,158.0191
452,30.39,158.04
453,30.2,158.4217
454,30.12,158.55
455,30.0962,160.0116
456,30.14,160.53
457,30.12,160.39
458,30.1916,161.3383
459,30.1152,160.309
460,30.2556,163.0435
461,30.28,163.59
462,30.2949,164.2165
463,30.3045,166.0915
464,30.3397,166.2189
465,30.33,166.2
466,30.42,166.46
467,29.5845,168.2213
468,29.5261,168.3514
469,29.1,170.03
470,28.55,173.1
471,29.01,172.49
472,29.1514,172.2652
473,29.11,170.31
474,28.34,175.11
475,28.2373,175.2428
476,29.51,179.45
477,30.0095,-178.5613
478,30.04,-178.41
479,30.2152,-176.4467
480,30.25,-176.28
481,30.2856,-176.1427
482,30.3412,-175.5211
483,31.1021,-174.1443
484,31.1517,-174.0432
485,31.2573,-173.469
486,31.3837,-173.2722
487,30.3,-173.04
488,30.546,-172.3667
489,31.0304,-172.2703
490,30.8333,-146.9
491,33.541,-144.916
492,36.25,-142.9333
493,36.45,-137.1667
494,25.6667,-158.0333
495,28.3667,-157.35
496,33.65,-155.1667
497,34.9333,-151.1167
498,36.1167,-147.0333
499,37.4833,-142.1
500,37.85,-138
501,27.5667,-154.2
502,29.7333,-150.6167
503,31.0667,-148.8
504,32.5667,-147.4167
505,34.4333,-145.8167
506,36.5,-144.9
507,37.9667,-143.4833
508,27.5667,-157.3833
509,30.95,-157.35
510,33.4,-156.9333
511,34.5,-153.25
512,35.4167,-149.8833
513,36,-146.3333
514,36.5,-142.0833
515,37.1667,-138.9167
516,37.15,-138.9
517,36.27,-148.5395
518,35.6247,-139.8972
519,35.401,-136.7717
520,22.4217,-159.5167
521,24.6667,-159.4667
522,27.4852,-158.3032
523,32.346,-157.5991
524,33.9533,-155.8267
525,35.8667,-152.5333
526,37.0717,-148.6533
527,36.1333,-142.15
528,35.5483,-139.4417
529,34.8083,-136.82
530,34.5883,-133.7417
531,34.7433,-131.535
532,34.6683,-129.1617
533,31.6442,-158.0152
534,33.1199,-158.1481
535,33.6833,-158.05
536,34.05,-157.9833
537,35.5667,-157.5833
538,35.4167,-157.4
539,34.4279,-155.8867
540,33.885,-155.53
541,33.2667,-154.5
542,33.3667,-154.25
543,32.3608,-152.7967
544,32.3193,-151.3663
545,33.8843,-148.678
546,34.9017,-147.2349
547,35.7317,-146.0215
548,35.593,-141.4937
549,35.1167,-153.1667
550,37.2667,-151.9
551,36.9833,-150.8167
552,36.9,-149.3
553,37.1667,-146.0833
554,34.23,-162.1567
555,40.1867,-162.3583
556,41.8767,-161.3617
557,44.1433,-158.7833
558,27.2333,-156.2833
559,29.05,-155.3667
560,30.8,-153.15
561,32.7,-151.0167
562,37.7667,-144.6333
563,38.2167,-142.4833
564,33.3667,-154.7333
565,33.5167,-154.8833
566,35.2167,-153.2667
567,35.2167,-153.2667
568,36.1,-151.7833
569,32.3333,-155.9333
570,31.6,-157.4333
571,36.2167,-151.5
572,37.1833,-148.6
573,23.25,-157.9833
574,27.1167,-157.0833
575,29.65,-156.0833
576,29.65,-156.0833
577,33.9,-155.0833
578,33.9,-155.0833
579,35.45,-154.5167
580,37.7333,-150.95
581,41.4333,-145.0333
582,41.9833,-143.2167
583,26.3833,-156.9333
584,27.8833,-155.5167
585,29.55,-153.5667
586,31.1167,-151.3333
587,32.7,-149.7333
588,36.25,-146.9333
589,37.6333,-146.0167
590,37.8667,-143.3333
591,38.0833,-141.0167
592,38.1667,-137.6833
593,38.3167,-134.7667
594,38.15,-132.2
595,23.25,-156.8833
596,24.5333,-155.1833
597,26.1167,-153.3167
598,27.8333,-151.3333
599,29.9667,-149.95
600,32.2667,-148.85
601,34.7167,-147.7333
602,36.4,-146.3667
603,36.7167,-143.9167
604,36.75,-141.3
605,36.9,-138.7667
606,37.3167,-135.8333
607,36.55,-148.9833
608,36.6333,-146.6167
609,24.5333,-157.9667
610,28.7167,-156.6833
611,31.5667,-153.5833
612,34.5833,-151.5167
613,37.25,-148.8833
614,39.3333,-147.3167
615,39.2167,-142.85
616,38.8025,-138.6878
617,38.85,-134.1
618,38.5833,-130.1333
619,39.1,-125.3167
620,28.265,-157.4175
621,33.9758,-156.0402
622,36.5049,-155.274
623,37.4767,-156.675
624,37.5417,-152.4833
625,37.5277,-152.2349
626,37.2667,-145.2667
627,31.1333,-159.5167
628,34.1833,-159.1667
629,36.1833,-158.2167
630,29.8167,-156.9667
631,30.9333,-156.5667
632,32.9,-155.6667
633,32.3833,-154.65
634,33.9833,-151.3333
635,35.9833,-148.8167
636,37.3833,-146.0333
637,37.1,-142.0333
638,26.0945,-157.3422
639,36.3092,-150.9315
640,35.775,-149.31
641,32.95,-159.55
642,38.9667,-161.7833
643,40.1167,-162.95
644,43.0667,-160.2667
645,46.65,-151.7167
646,38.0762,-152.3518
647,35.7733,-153.6367
648,37.8873,-149.5742
649,38.0007,-141.9933
650,38.1875,-138.8018
651,36.6393,-128.1462
652,35.7667,-124.5
653,24.3667,-156.1667
654,27.4833,-154.3
655,32.4,-150.9667
656,36.55,-146.5
657,36.1,-142.9
658,35.7,-139.95
659,36,-136.1
660,22.1333,-158.0833
661,22.8333,-158.6667
662,24.25,-156.7833
663,25.5333,-155.5
664,26.6333,-154.1667
665,30.5,-150.4667
666,31.4,-148.1167
667,35.1833,-147.7
668,33.4167,-144.7667
669,33.7167,-139.45
670,33.1667,-136.4333
671,31.5667,-132.3
672,31.5167,-127.8667
673,34.1667,-119.8
674,31.2552,-158.1222
675,31.6334,-156.0684
676,33.0571,-153.8981
677,32.9783,-154.145
678,29.0717,-155.0567
679,30.025,-155.03
680,30.9867,-154.77
681,30.985,-154.235
682,30.775,-152.9033
683,30.67,-152.4833
684,30.6667,-150.885
685,30.9017,-150.44
686,31.49,-149.2467
687,31.9917,-148.9783
688,32.8967,-148.0717
689,33.2733,-147.61
690,34.3983,-146.6683
691,34.765,-146.3617
692,35.225,-144.7883
693,35.3033,-144.2033
694,35.6,-142.135
695,35.4817,-141.5217
696,35.4183,-139.385
697,35.46,-138.7833
698,30.25,-156.6
699,30.5063,-156.3167
700,32.0333,-154.3833
701,33.05,-151.5667
702,34.2513,-149.004
703,35.6333,-146.8333
704,36.7833,-144.8167
705,38.5667,-142.1833
706,21.9037,-157.7995
707,24.9106,-157.4276
708,24.0219,-157.6883
709,27.7333,-157.1167
710,26.8867,-157.1617
711,30.4,-157.0833
712,29.6667,-157.1333
713,32.5083,-156.4917
714,31.8833,-156.7667
715,33.7975,-155.5469
716,34.312,-155.3343
717,35.6339,-154.1437
718,36.1852,-153.2645
719,37.6891,-150.3047
720,37.184,-151.1729
721,39.7213,-147.5733
722,39.156,-148.2517
723,41.2205,-146.6097
724,41.6703,-146.3295
725,5.62,83.003
726,5.661,83.318
727,5.898,85.037
728,6.188,87.27
729,6.17,87.014
730,5.95,85.533
731,5.922,85.258
732,6.448,89.091
733,6.198,87.365
734,6.49,92.054
735,6.613,90.768
736,6.63,90.596
737,6.506,92.351
738,6.497,92.275
739,6.658,93.964
740,6.628,93.857
741,-32.8627,-72.722
742,-32.8038,-73.7013
743,-32.4972,-77.4481
744,-32.3752,-78.5765
745,-32.2974,-79.2926
746,-31.9064,-82.888
747,-31.7669,-84.1668
748,-31.6404,-85.3259
749,-31.1997,-88.6466
750,-31.0447,-89.5242
751,-30.8015,-90.898
752,-30.0226,-94.4413
753,-29.7475,-95.5771
754,-29.4875,-96.5755
755,-28.5743,-99.8404
756,-28.1803,-101.0936
757,-27.8516,-102.1355
758,-26.484,-105.4256
759,-26.6293,-106.5247
760,-27.4284,-108.8627
761,-27.6904,-107.9983
762,-28.7147,-104.5978
763,-29.0015,-103.5481
764,-29.1871,-102.8011
765,-30.0421,-99.3412
766,-30.3117,-98.1671
767,-30.4833,-97.2965
768,-31.0871,-94.2208
769,-31.3323,-92.9653
770,-31.4549,-92.1651
771,-32,-88.4874
772,-32.1755,-87.2985
773,-32.2768,-86.3968
774,-32.6918,-82.3284
775,-32.8067,-81.1763
776,-32.8447,-80.2808
777,-32.9806,-77.0656
778,-33.035,-75.7826
779,-33.0137,-72.0418
780,36.0533,-33.9307
781,35.2107,-33.9168
782,34.4452,-34.4855
783,33.7943,-35.1402
784,33.4238,-35.0883
785,32.6252,-36.4067
786,31.8113,-36.8788
787,30.9254,-37.0622
